service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
171169,1,1,1,1,1,1,1,20250201,20300930
171174,1,1,1,1,1,0,0,20250201,20300930
171179,1,0,0,0,0,0,0,20250201,20300930
171213,0,0,1,0,0,0,0,20250201,20300930
171324,1,1,1,1,0,0,0,20250201,20300930
171417,1,1,1,1,1,0,0,20250201,20300930
171418,0,0,1,0,1,0,0,20250201,20300930
171895,1,1,1,1,1,0,0,20210501,20300331
171896,1,1,1,1,1,1,1,20210501,20300331
171897,1,1,1,1,1,1,1,20210501,20300331
171898,1,1,1,1,1,1,1,20210501,20300331
171905,1,1,1,1,1,1,1,20210501,20300331
171906,1,1,1,1,1,1,1,20210501,20300331
171907,1,1,1,1,1,1,1,20210501,20300331
171909,1,1,1,1,1,1,1,20210501,20300331
171923,0,0,0,0,0,1,1,20210501,20300331
171924,1,1,1,1,1,0,0,20210501,20300331
171925,1,1,1,1,1,1,1,20210501,20300331
171926,1,1,1,1,1,0,0,20210501,20300331
171986,1,1,1,1,1,0,0,20230701,20280930
171987,1,1,1,1,1,0,0,20230701,20280930
172042,1,1,1,1,1,0,0,20230701,20280930
172091,1,1,1,1,1,0,0,20230701,20280930
172216,0,0,0,0,1,0,0,20251101,20260228
172217,0,1,0,0,1,0,1,20251101,20260228
172218,0,1,0,0,0,0,0,20251101,20260228
172224,1,0,1,0,1,0,0,20230701,20280930
172305,1,1,1,1,1,0,0,20230701,20280930
172334,0,0,0,0,0,1,1,20230701,20280930
172674,1,1,1,1,1,1,0,20230701,20280930
172677,1,1,1,1,1,0,0,20230701,20280930
172694,0,0,0,0,0,1,1,20230701,20280930
172695,1,1,1,1,1,1,1,20230701,20280930
172697,1,1,1,1,1,0,0,20230701,20280930
172716,1,1,1,1,1,1,1,20230701,20280930
172717,1,1,1,1,1,0,0,20250201,20290630
172719,1,1,1,1,1,1,1,20230701,20280930
172735,1,1,1,1,1,1,0,20250201,20290630
172800,1,1,1,1,1,1,0,20250201,20290630
173017,1,1,1,1,1,1,0,20230701,20280930
173018,1,1,1,1,1,0,0,20230701,20280930
173019,1,1,1,1,1,0,0,20230701,20280930
173070,0,0,0,0,0,1,1,20230701,20280930
173071,0,0,0,0,0,1,1,20230701,20280930
173098,0,0,0,0,0,0,1,20230701,20280930
173127,1,1,1,1,1,0,0,20230701,20280930
173129,0,1,0,0,0,1,0,20250915,20261123
173199,0,0,0,0,1,0,1,20250915,20261123
173200,1,1,1,1,1,1,1,20250201,20290630
173292,1,1,1,1,1,1,0,20250915,20261123
173293,0,0,0,0,0,1,1,20250201,20290630
173350,1,1,1,1,1,0,0,20230701,20280930
173356,1,1,1,1,1,1,1,20250201,20290630
173357,1,1,1,1,1,1,1,20250201,20290630
173370,1,1,1,1,1,1,1,20250201,20290630
173465,1,1,1,1,1,1,1,20231025,20280930
173472,1,1,1,1,1,0,0,20250201,20290630
173497,1,1,1,1,1,0,0,20230701,20280930
173501,1,1,1,1,1,0,1,20230701,20280930
173973,1,1,1,1,1,1,0,20210628,20270831
174971,1,1,1,1,1,1,1,20210618,20280906
174973,1,1,1,1,1,1,1,20210618,20280906
178433,0,0,0,0,0,0,1,20240701,20261123
178434,0,0,0,0,0,0,1,20240701,20261123
178435,0,0,0,0,0,0,1,20240701,20261123
178446,0,0,0,0,0,0,1,20240701,20261123
178447,0,0,0,0,0,0,1,20240701,20261123
178448,0,0,0,0,0,0,1,20240701,20261123
178503,1,1,1,1,1,0,0,20210815,20260814
179141,1,1,1,1,1,0,0,20210822,20261123
179225,1,1,1,1,1,1,1,20210902,20261123
179229,1,1,1,1,1,0,0,20210902,20261123
179230,1,1,1,1,1,1,1,20210902,20261123
179231,0,0,0,0,0,1,1,20210902,20261123
179263,1,1,1,1,1,1,1,20210902,20261123
179312,0,0,0,0,0,1,1,20210901,20261123
179313,0,0,0,0,0,1,1,20210901,20261123
179314,0,0,0,0,0,1,1,20210901,20261123
179315,0,0,0,0,0,1,1,20210901,20261123
179316,0,0,0,0,0,1,1,20210901,20261123
179317,0,0,0,0,0,1,1,20210901,20261123
180715,1,1,1,1,1,0,0,20210913,20270831
180942,0,0,0,0,0,1,0,20210918,20270831
181031,1,1,1,1,1,0,0,20210913,20270831
181544,1,1,1,1,1,0,0,20210915,20261123
181607,1,1,1,1,1,0,0,20250901,20260609
181608,1,1,1,1,1,0,0,20250901,20260609
181698,1,1,1,1,1,1,1,20210921,20260920
181770,1,1,1,1,1,0,0,20200201,20261123
182188,1,1,1,1,1,0,0,20210927,20270831
182189,1,1,1,1,1,0,0,20210927,20270831
182272,1,1,1,1,1,0,0,20211001,20261123
182273,0,0,0,0,0,1,1,20211001,20261123
182691,1,1,1,1,1,1,0,20210925,20300331
182692,1,1,1,1,1,1,1,20210925,20300331
183001,1,1,1,1,1,1,1,20210929,20251226
183002,1,1,1,1,1,1,0,20210929,20251226
184122,1,1,1,1,1,1,1,20211021,20290930
184123,1,1,1,1,1,0,0,20211021,20290930
184214,0,0,0,0,1,0,1,20211021,20261020
184215,1,1,1,1,1,1,1,20211021,20261020
184856,0,0,0,0,1,0,1,20211117,20261116
184906,0,0,0,0,0,1,1,20211111,20300331
184909,1,1,1,1,1,0,0,20211111,20300331
184913,0,0,0,0,0,0,1,20211111,20300331
185249,1,1,1,1,1,0,0,20211115,20261123
185526,1,1,1,1,1,1,1,20220101,20261231
185527,1,1,1,1,1,1,0,20220101,20261231
185528,1,1,1,1,1,1,1,20220101,20261231
185547,1,1,1,1,1,1,0,20220101,20261231
185552,1,1,1,1,1,1,1,20220101,20261231
185555,1,1,1,1,1,1,1,20220101,20261231
185701,1,0,1,0,1,0,0,20230701,20280930
